Author,BookID,WikipediaLink
Virgil,229,https://en.wikipedia.org/wiki/Virgil
Virgil,230,https://en.wikipedia.org/wiki/Virgil
Virgil,231,https://en.wikipedia.org/wiki/Virgil
Virgil,232,https://en.wikipedia.org/wiki/Virgil
"Dreiser, Theodore",233,https://en.wikipedia.org/wiki/Theodore_Dreiser
"Morris, William",234,http://en.wikipedia.org/wiki/William_Morris
"Salza, Giuseppe",235,
"Kipling, Rudyard",236,https://en.wikipedia.org/wiki/Rudyard_Kipling
"Propertius, Sextus",237,http://en.wikipedia.org/wiki/Sextus_Propertius
"Webster, Jean",238,https://en.wikipedia.org/wiki/Jean_Webster
"Harris, Robert A. (Robert Alan)",240,
"Brown, William Wells",241,https://en.wikipedia.org/wiki/William_Wells_Brown
"Cather, Willa",242,https://en.wikipedia.org/wiki/Willa_Cather
"Tolstoy, Leo, graf",243,https://en.wikipedia.org/wiki/Leo_Tolstoy
"Doyle, Arthur Conan",244,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Twain, Mark",245,https://en.wikipedia.org/wiki/Mark_Twain
Omar Khayyam,246,https://en.wikipedia.org/wiki/Omar_Khayyam
"Webster, Noah",247,https://en.wikipedia.org/wiki/Noah_Webster
"Webster, Noah",248,https://en.wikipedia.org/wiki/Noah_Webster
"Hart, Michael",250,https://en.wikipedia.org/wiki/Michael_S._Hart
United States,251,https://en.wikipedia.org/wiki/United_States
Library of Congress. Copyright Office,252,https://en.wikipedia.org/wiki/United_States_Copyright_Office
Coalition for Networked Information,253,https://en.wikipedia.org/wiki/Coalition_for_Networked_Information
"Scavezze, Dan",255,
"Chaucer, Geoffrey",257,https://en.wikipedia.org/wiki/Geoffrey_Chaucer
"Gordon, Adam Lindsay",258,https://en.wikipedia.org/wiki/Adam_Lindsay_Gordon
"Service, Robert W. (Robert William)",259,https://en.wikipedia.org/wiki/Robert_W._Service
"Browning, Robert",260,https://en.wikipedia.org/wiki/Robert_Browning
"Lowell, Amy",261,https://en.wikipedia.org/wiki/Amy_Lowell
"Brooke, Rupert",262,https://en.wikipedia.org/wiki/Rupert_Brooke
"Kilmer, Joyce",263,https://en.wikipedia.org/wiki/Joyce_Kilmer
"Kilmer, Joyce",264,https://en.wikipedia.org/wiki/Joyce_Kilmer
,265,
"Gower, John",266,https://en.wikipedia.org/wiki/John_Gower
"Wharton, Edith",267,http://en.wikipedia.org/wiki/Edith_Wharton
"Norris, Frank",268,https://en.wikipedia.org/wiki/Frank_Norris
Saki,269,https://en.wikipedia.org/wiki/Saki
"Grahame, Kenneth",270,https://en.wikipedia.org/wiki/Kenneth_Grahame
"Sewell, Anna",271,https://en.wikipedia.org/wiki/Anna_Sewell
"Luther, Martin",272,https://en.wikipedia.org/wiki/Martin_Luther
"Luther, Martin",273,https://en.wikipedia.org/wiki/Martin_Luther
"Luther, Martin",274,https://en.wikipedia.org/wiki/Martin_Luther
"Melanchthon, Philipp",275,https://en.wikipedia.org/wiki/Philipp_Melanchthon
"Haydn, Joseph",276,https://en.wikipedia.org/wiki/Joseph_Haydn
National Atomic Museum (U.S.),277,https://en.wikipedia.org/wiki/National_Museum_of_Nuclear_Science_%26_History
White Sands Missile Range (N.M.). Public Affairs Office,278,
,279,
"Stevenson, Robert Louis",280,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stevenson, Robert Louis",281,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Kinglake, Alexander William",282,https://en.wikipedia.org/wiki/Alexander_William_Kinglake
"Wharton, Edith",283,http://en.wikipedia.org/wiki/Edith_Wharton
"Wharton, Edith",284,http://en.wikipedia.org/wiki/Edith_Wharton
"Hyne, Charles John Cutcliffe Wright",285,https://en.wikipedia.org/wiki/C._J._Cutcliffe_Hyne
"Stratton-Porter, Gene",286,https://en.wikipedia.org/wiki/Gene_Stratton_Porter
"Barr, Amelia E.",287,https://en.wikipedia.org/wiki/Amelia_Edith_Huddleston_Barr
"Cabell, James Branch",288,https://en.wikipedia.org/wiki/James_Branch_Cabell
"Grahame, Kenneth",289,https://en.wikipedia.org/wiki/Kenneth_Grahame
"Doyle, Arthur Conan",290,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Grahame, Kenneth",291,https://en.wikipedia.org/wiki/Kenneth_Grahame
"Taylor, Bayard",292,https://en.wikipedia.org/wiki/Bayard_Taylor
"Alger, Horatio, Jr.",293,"https://en.wikipedia.org/wiki/Horatio_Alger,_Jr."
"Doyle, Arthur Conan",294,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Wharton, Edith",295,http://en.wikipedia.org/wiki/Edith_Wharton
"Alger, Horatio, Jr.",296,"https://en.wikipedia.org/wiki/Horatio_Alger,_Jr."
"Tarkington, Booth",297,https://en.wikipedia.org/wiki/Booth_Tarkington
"Frederic, Harold",298,https://en.wikipedia.org/wiki/Harold_Frederic
"Boyesen, Hjalmar Hjorth",299,https://en.wikipedia.org/wiki/Hjalmar_Hjorth_Boyesen
"Jefferson, Thomas",300,https://en.wikipedia.org/wiki/Thomas_Jefferson
"Wilde, Oscar",301,http://fr.wikipedia.org/wiki/Oscar_Wilde
"Husted, Michael",302,
Anonymous,303,https://en.wikipedia.org/wiki/Anonymous_work
"Paterson, A. B. (Andrew Barton)",304,https://en.wikipedia.org/wiki/Banjo_Paterson
"Gaboriau, Emile",305,http://en.wikipedia.org/wiki/%C3%89mile_Gaboriau
"Wharton, Edith",306,http://en.wikipedia.org/wiki/Edith_Wharton
"Paterson, A. B. (Andrew Barton)",307,https://en.wikipedia.org/wiki/Banjo_Paterson
"Jerome, Jerome K. (Jerome Klapka)",308,https://en.wikipedia.org/wiki/Jerome_K._Jerome
"Service, Robert W. (Robert William)",309,https://en.wikipedia.org/wiki/Robert_W._Service
"London, Jack",310,https://en.wikipedia.org/wiki/Jack_London
"Wharton, Edith",311,http://fr.wikipedia.org/wiki/Edith_Wharton
"Benét, Stephen Vincent",312,https://en.wikipedia.org/wiki/Stephen_Vincent_Benét
"Robinson, Edwin Arlington",313,https://en.wikipedia.org/wiki/Edwin_Arlington_Robinson
"Dobie, J. Frank (James Frank)",314,https://en.wikipedia.org/wiki/J._Frank_Dobie
"Service, Robert W. (Robert William)",315,https://en.wikipedia.org/wiki/Robert_W._Service
"Montgomery, L. M. (Lucy Maud)",316,http://en.wikipedia.org/wiki/Lucy_Maud_Montgomery
"Drake, Joseph Rodman",317,https://en.wikipedia.org/wiki/Joseph_Rodman_Drake
"London, Jack",318,https://en.wikipedia.org/wiki/Jack_London
"Gregory, Eliot",319,
Anonymous,320,https://en.wikipedia.org/wiki/Anonymous_work
"Norris, Frank",321,https://en.wikipedia.org/wiki/Frank_Norris
"Stevenson, Robert Louis",322,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Kipling, Rudyard",323,https://en.wikipedia.org/wiki/Rudyard_Kipling
"Fox, John, Jr.",324,https://en.wikipedia.org/wiki/John_Fox%2C_Jr.
"MacDonald, George",325,https://en.wikipedia.org/wiki/George_MacDonald
"Muir, John",326,https://en.wikipedia.org/wiki/John_Muir
"Davis, Richard Harding",327,http://en.wikipedia.org/wiki/Richard_Harding_Davis
"Guest, Edgar A. (Edgar Albert)",328,https://en.wikipedia.org/wiki/Edgar_Guest
"Stevenson, Robert Louis",329,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Rinehart, Mary Roberts",330,https://en.wikipedia.org/wiki/Mary_Roberts_Rinehart
"Burroughs, Edgar Rice",331,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
"Page, Thomas Nelson",332,https://en.wikipedia.org/wiki/Thomas_Nelson_Page
"Raleigh, Walter Alexander, Sir",333,https://en.wikipedia.org/wiki/Walter_Raleigh_(professor)
"Davis, Richard Harding",334,http://en.wikipedia.org/wiki/Richard_Harding_Davis
"Davis, Rebecca Harding",335,https://en.wikipedia.org/wiki/Rebecca_Harding_Davis
"Eastman, Charles A.",336,https://en.wikipedia.org/wiki/Charles_Eastman
"Eastman, Charles A.",337,https://en.wikipedia.org/wiki/Charles_Eastman
Zitkala-Sa,338,https://en.wikipedia.org/wiki/Zitkala-Sa
"Eastman, Charles A.",339,https://en.wikipedia.org/wiki/Charles_Eastman
"Eastman, Charles A.",340,https://en.wikipedia.org/wiki/Charles_Eastman
"McLaughlin, Marie L.",341,
"Barrie, J. M. (James Matthew)",342,https://en.wikipedia.org/wiki/J._M._Barrie
"Stevenson, Robert Louis",343,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stevenson, Robert Louis",344,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stoker, Bram",345,https://en.wikipedia.org/wiki/Bram_Stoker
"Cather, Willa",346,https://en.wikipedia.org/wiki/Willa_Cather
Hesiod,348,https://en.wikipedia.org/wiki/Hesiod
"Stratton-Porter, Gene",349,https://en.wikipedia.org/wiki/Gene_Stratton_Porter
"Ferber, Edna",350,https://en.wikipedia.org/wiki/Edna_Ferber
"Maugham, W. Somerset (William Somerset)",351,https://en.wikipedia.org/wiki/W._Somerset_Maugham
"Ferber, Edna",352,https://en.wikipedia.org/wiki/Edna_Ferber
"McCrae, John",353,https://en.wikipedia.org/wiki/John_McCrae
"Jordan, Elizabeth Garver",354,https://en.wikipedia.org/wiki/Elizabeth_Jordan
"Doyle, Arthur Conan",355,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Doyle, Arthur Conan",356,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle
"Morris, William",357,http://en.wikipedia.org/wiki/William_Morris
"Davis, Richard Harding",358,http://en.wikipedia.org/wiki/Richard_Harding_Davis
"Olcott, Frances Jenkins",359,https://en.wikipedia.org/wiki/Frances_Jenkins_Olcott
"Proudhon, P.-J. (Pierre-Joseph)",360,http://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon
"Porter, Eleanor H. (Eleanor Hodgman)",361,https://en.wikipedia.org/wiki/Eleanor_H._Porter
"Porter, Eleanor H. (Eleanor Hodgman)",362,https://en.wikipedia.org/wiki/Eleanor_H._Porter
"Burroughs, Edgar Rice",363,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
"Burroughs, Edgar Rice",364,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
"Austin, Mary",365,https://en.wikipedia.org/wiki/Mary_Hunter_Austin
"Rinehart, Mary Roberts",366,https://en.wikipedia.org/wiki/Mary_Roberts_Rinehart
"Jewett, Sarah Orne",367,http://en.wikipedia.org/wiki/Sarah_Orne_Jewett
"Conwell, Russell H.",368,https://en.wikipedia.org/wiki/Russell_Conwell
"Burroughs, Edgar Rice",369,https://en.wikipedia.org/wiki/Edgar_Rice_Burroughs
"Defoe, Daniel",370,http://en.wikipedia.org/wiki/Daniel_Defoe
"Wheatley, Henry B. (Henry Benjamin)",371,https://en.wikipedia.org/wiki/Henry_B._Wheatley
"Stevenson, Robert Louis",372,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stevenson, Robert Louis",373,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Bierce, Ambrose",374,https://en.wikipedia.org/wiki/Ambrose_Bierce
"Bierce, Ambrose",375,https://en.wikipedia.org/wiki/Ambrose_Bierce
