BookId,Author,WikipediaLink,WikidataId,DateOfBirth,DateOfDeath,CountryOfCitizenship,Occupation,LanguagesSpokenWrittenOrSigned,Genre,FieldOfWork,MemberOf,EducatedAt,InfluencedBy
32307,"Venable, F. P. (Francis Preston)",http://en.wikipedia.org/wiki/Francis_Preston_Venable,Q5482229,1856-11-17T00:00:00Z,1934-03-17T00:00:00Z,United States of America,chemist,English,,,,University of Göttingen,
4688,"Mallarmé, Stéphane",https://en.wikipedia.org/wiki/St%C3%A9phane_Mallarm%C3%A9,Q767,1842-03-18T00:00:00Z,1898-09-09T00:00:00Z,France,literary critic,French,,,,,
42586,"Godard d'Aucour, Claude",https://fr.wikipedia.org/wiki/Claude_Godard_d%27Aucour,Q24982149,1716-12-16T00:00:00Z,1795-07-01T00:00:00Z,Kingdom of France,novelist,French,,,,,
543,"Lewis, Sinclair",https://en.wikipedia.org/wiki/Sinclair_Lewis,Q123469,1885-02-07T00:00:00Z,1951-01-10T00:00:00Z,United States of America,playwright,American English,,literature,American Academy of Arts and Letters,Oberlin Academy,
17696,"Tissot, Victor",https://fr.wikipedia.org/wiki/Victor_Tissot,Q3557604,1844-08-14T00:00:00Z,1917-07-06T00:00:00Z,Switzerland,journalist,French,,,,,
39007,"Kampyses, Giannes",http://el.wikipedia.org/wiki/%CE%93%CE%B9%CE%AC%CE%BD%CE%BD%CE%B7%CF%82_%CE%9A%CE%B1%CE%BC%CF%80%CF%8D%CF%83%CE%B7%CF%82,Q3565674,1872-06-02T00:00:00Z,1901-11-23T00:00:00Z,Greece,playwright,Modern Greek,,,,National and Kapodistrian University of Athens,
9971,"Hauptmann, Gerhart",https://en.wikipedia.org/wiki/Gerhart_Hauptmann,Q43523,1862-11-15T00:00:00Z,1946-06-06T00:00:00Z,German Empire,lyricist,German,,drama,Durch!,University of Jena,
14504,"Boyle, Robert",https://en.wikipedia.org/wiki/Robert_Boyle,Q43393,1627-01-25T00:00:00Z,1691-12-31T00:00:00Z,Kingdom of England,physicist,French,,physicist,Invisible College,Eton College,"[['Q251259', 'Ibn Tufayl'], ['Q60095', 'Otto von Guericke'], ['Q37388', 'Francis Bacon'], ['Q9191', 'René Descartes'], ['Q307', 'Galileo Galilei'], ['Q365463', 'Cornelis Drebbel']]"
21981,"Adler, Felix",https://en.wikipedia.org/wiki/Felix_Adler_(professor),Q1386165,1851-08-13T00:00:00Z,1933-04-24T00:00:00Z,United States of America,screenwriter,English,,ethics,American Philosophical Society,Heidelberg University,"[['Q3525030', 'Thomas Davidson'], ['Q77888', 'Wilhelm von Humboldt'], ['Q60844', 'Abraham Geiger'], ['Q61674', 'Friedrich Albert Lange'], ['Q271032', 'Matthew Arnold'], ['Q9312', 'Immanuel Kant'], ['Q48226', 'Ralph Waldo Emerson'], ['Q76709', 'Hermann Cohen'], ['Q61862', 'Eduard Zeller'], ['Q37388', 'Francis Bacon'], ['Q65644', 'Heymann Steinthal'], ['Q77609', 'Hermann Bonitz']]"
35250,"Penning, L. (Louwrens)",https://en.wikipedia.org/wiki/Louwrens_Penning,Q1872354,1854-12-02T00:00:00Z,1927-01-01T00:00:00Z,Kingdom of the Netherlands,writer,Dutch,,,,,
6101,"Palmer, George Herbert",https://en.wikipedia.org/wiki/George_Herbert_Palmer,Q5540531,1842-03-09T00:00:00Z,1933-05-08T00:00:00Z,United States of America,philosopher,,,,,Harvard University,
60411,"Steuart, James, Sir",https://en.wikipedia.org/wiki/James_Steuart_(economist),Q257107,1712-10-21T00:00:00Z,1780-11-26T00:00:00Z,Great Britain,economist,English,,,Faculty of Advocates,University of Edinburgh,
3798,"Gronow, R. H. (Rees Howell)",https://en.wikipedia.org/wiki/Rees_Howell_Gronow,Q7306968,1794-05-07T00:00:00Z,1865-11-22T00:00:00Z,Great Britain,politician,English,,,,Eton College,
59088,"Leutwein, Theodor Gotthilf von",https://en.wikipedia.org/wiki/Theodor_Leutwein,Q68882,1849-05-09T00:00:00Z,1921-04-13T00:00:00Z,Germany,politician,German,,,Q104381855,,
47092,"Cánovas del Castillo, Antonio",http://en.wikipedia.org/wiki/Antonio_C%C3%A1novas_del_Castillo,Q336901,1828-02-08T00:00:00Z,1897-08-08T00:00:00Z,Spain,diplomat,Spanish,,,Royal Academy of Moral and Political Sciences,,
4920,"Hall, Austin",https://en.wikipedia.org/wiki/Austin_Hall_(writer),Q4338667,1885-01-01T00:00:00Z,1933-01-01T00:00:00Z,United States of America,novelist,,,,,,
6655,"Fitzhugh, Percy Keese",https://en.wikipedia.org/wiki/Percy_Keese_Fitzhugh,Q15460968,1876-09-07T00:00:00Z,1950-07-05T00:00:00Z,,children's writer,,,,,,
26722,"Vogeler, Heinrich",http://en.wikipedia.org/wiki/Heinrich_Vogeler,Q213734,1872-12-12T00:00:00Z,1942-06-14T00:00:00Z,German Reich,printmaker,German,graphics,,Tartarus,Kunstakademie Düsseldorf,
10075,"Smith, Venture",https://en.wikipedia.org/wiki/Venture_Smith,Q7920418,1729-01-01T00:00:00Z,1805-01-01T00:00:00Z,United States of America,writer,English,,,,,
26872,"Han, Bangqing",http://zh.wikipedia.org/wiki/%E9%9F%93%E9%82%A6%E6%85%B6,Q5787518,1856-01-01T00:00:00Z,1894-01-01T00:00:00Z,Qing dynasty,writer,,,,,,
7285,"Han, Ying, active 150 B.C.",http://zh.wikipedia.org/wiki/%E9%9F%93%E5%AC%B0,Q4495608,-0199-01-01T00:00:00Z,-0129-01-01T00:00:00Z,Western Han,,,,,,,
30791,"Brereton, F. S. (Frederick Sadleir)",https://en.wikipedia.org/wiki/Frederick_Sadleir_Brereton,Q5498690,1872-08-05T00:00:00Z,1957-08-12T00:00:00Z,United Kingdom,military physician,English,,,,,
11379,"Banks, Nancy Huston",https://en.wikipedia.org/wiki/Nancy_Huston_Banks,Q30028068,1850-01-01T00:00:00Z,1934-04-06T00:00:00Z,,novelist,,,,,,
3296,"Augustine, Saint, Bishop of Hippo",https://en.wikipedia.org/wiki/Augustine_of_Hippo,Q8018,0354-11-14T00:00:00Z,0430-08-29T00:00:00Z,Ancient Rome,writer,Punic,,theology,,,"[['Q43689', 'Ambrose']]"
4353,"Chester, George Randolph",https://en.wikipedia.org/wiki/George_Randolph_Chester,Q5543713,1869-01-27T00:00:00Z,1924-02-26T00:00:00Z,United States of America,journalist,English,,,,,
