BookId	Author	WikipediaLink	WikidataId	DateOfBirth	DateOfDeath	CountryOfCitizenship	Occupation	LanguagesSpokenWrittenOrSigned	Genre	FieldOfWork	MemberOf	EducatedAt	InfluencedBy
9782	Cox, F. A. (Francis Augustus)	https://en.wikipedia.org/wiki/Francis_Augustus_Cox	Q5480047	1783-01-01T00:00:00Z	1853-01-01T00:00:00Z	Great Britain	author	English	None	None	None	University of Edinburgh	None
29412	Calmet, Augustin	http://en.wikipedia.org/wiki/Antoine_Augustin_Calmet	Q767668	1672-02-25T00:00:00Z	1757-01-01T00:00:00Z	Duchy of Lorraine	historian	French	None	None	None	None	None
14279	Nicholson, Henry Alleyne	https://en.wikipedia.org/wiki/Henry_Alleyne_Nicholson	Q3132583	1844-09-11T00:00:00Z	1899-01-19T00:00:00Z	United Kingdom	paleontologist	English	None	None	Royal Society	University of Göttingen	None
29475	Bates, Harry	http://en.wikipedia.org/wiki/Harry_Bates_(author)	Q707333	1900-10-09T00:00:00Z	1981-01-01T00:00:00Z	United States of America	novelist	English	None	None	None	None	None
1972	Nennius, active 796	https://en.wikipedia.org/wiki/Nennius	Q132065	0800-01-01T00:00:00Z	0900-01-01T00:00:00Z	None	writer	Welsh	None	None	None	None	None
20896	Cupples, George, Mrs.	https://en.wikipedia.org/wiki/Anne_Jane_Cupples	Q15431182	1839-01-04T00:00:00Z	1896-11-14T00:00:00Z	None	writer	None	None	None	None	None	None
12586	Chafer, Lewis Sperry	https://en.wikipedia.org/wiki/Lewis_Sperry_Chafer	Q5973650	1871-02-27T00:00:00Z	1952-08-22T00:00:00Z	United States of America	theologian	None	None	None	None	Wheaton College	None
19532	Feijó, António Joaquim de Castro	http://pt.wikipedia.org/wiki/Ant%C3%B3nio_Feij%C3%B3	Q610837	1859-06-01T00:00:00Z	1917-06-20T00:00:00Z	Portugal	writer	Portuguese	None	None	None	University of Coimbra	None
3099	Paine, Ralph Delahaye	https://en.wikipedia.org/wiki/Ralph_Delahaye_Paine	Q7287399	1871-08-28T00:00:00Z	1925-04-29T00:00:00Z	United States of America	politician	English	None	None	Skull and Bones	Yale University	None
34781	Leach, John Albert	http://en.wikipedia.org/wiki/John_Albert_Leach	Q3180871	1870-03-19T00:00:00Z	1929-10-03T00:00:00Z	Australia	ornithologist	English	None	None	None	University of Melbourne	None
11558	Goodrich, Samuel G. (Samuel Griswold)	https://en.wikipedia.org/wiki/Samuel_Griswold_Goodrich	Q719978	1793-08-19T00:00:00Z	1860-05-09T00:00:00Z	United States of America	politician	English	None	None	None	None	None
6052	Hornaday, William T. (William Temple)	https://en.wikipedia.org/wiki/William_Temple_Hornaday	Q943858	1854-12-01T00:00:00Z	1937-03-06T00:00:00Z	United States of America	zoologist	English	None	None	None	None	None
12988	Thomas, Augustus	https://en.wikipedia.org/wiki/Augustus_Thomas	Q2871719	1857-01-08T00:00:00Z	1934-08-12T00:00:00Z	United States of America	editor	None	None	None	American Academy of Arts and Letters	None	None
52106	Westermarck, Edward	https://en.wikipedia.org/wiki/Edvard_Westermarck	Q722835	1862-11-20T00:00:00Z	1939-09-03T00:00:00Z	Finland	anthropologist	English	None	philosophy	None	University of Helsinki	None
13482	Bobbitt, John Franklin	https://en.wikipedia.org/wiki/John_Franklin_Bobbitt	Q12617202	1876-01-01T00:00:00Z	1956-03-07T00:00:00Z	None	pedagogue	None	None	None	None	Clark University	None
60952	Kaiser, Georg	https://de.wikipedia.org/wiki/Georg_Kaiser	Q60477	1878-11-25T00:00:00Z	1945-06-04T00:00:00Z	Germany	poet	German	None	None	Academy of Arts, Berlin	None	None
