Author,BookID,WikipediaLink
"Lyall, Edna",1273,https://en.wikipedia.org/wiki/Ada_Ellen_Bayly
"Masefield, John",1274,https://en.wikipedia.org/wiki/John_Masefield
"Burns, Robert",1279,https://en.wikipedia.org/wiki/Robert_Burns
"Masters, Edgar Lee",1280,https://en.wikipedia.org/wiki/Edgar_Lee_Masters
"Butler, Ellis Parker",1285,https://en.wikipedia.org/wiki/Ellis_Parker_Butler
"Lamb, Charles",1286,https://en.wikipedia.org/wiki/Charles_Lamb
"Goethe, Johann Wolfgang von",1287,https://de.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe
"Galt, John",1296,https://en.wikipedia.org/wiki/John_Galt
"Davis, James J. (James John)",1297,https://en.wikipedia.org/wiki/James_J._Davis
"Blades, William",1302,https://en.wikipedia.org/wiki/William_Blades
"Caine, Hall, Sir",1303,https://en.wikipedia.org/wiki/Hall_Caine
"Dunsany, Lord",1311,https://en.wikipedia.org/wiki/Lord_Dunsany
"Harte, Bret",1312,https://en.wikipedia.org/wiki/Bret_Harte
"Oppenheim, E. Phillips (Edward Phillips)",1314,http://en.wikipedia.org/wiki/E._Phillips_Oppenheim
"Huxley, Thomas Henry",1315,https://en.wikipedia.org/wiki/Thomas_Henry_Huxley
"Scott, Walter Dill",1319,https://en.wikipedia.org/wiki/Walter_Dill_Scott
"Gross, Hans",1320,https://en.wikipedia.org/wiki/Hans_Gross
"Eliot, T. S. (Thomas Stearns)",1321,https://en.wikipedia.org/wiki/T._S._Eliot
"Whitman, Walt",1322,https://en.wikipedia.org/wiki/Walt_Whitman
"Ransome, Arthur",1324,https://en.wikipedia.org/wiki/Arthur_Ransome
"Addams, Jane",1325,https://en.wikipedia.org/wiki/Jane_Addams
"Von Arnim, Elizabeth",1327,https://en.wikipedia.org/wiki/Elizabeth_von_Arnim
"Lindsay, David",1329,https://en.wikipedia.org/wiki/David_Lindsay_%28novelist%29
"Bannerman, Helen",1330,https://en.wikipedia.org/wiki/Helen_Bannerman
"Murray, R. F. (Robert Fuller)",1333,https://en.wikipedia.org/wiki/Robert_Fuller_Murray
"Thompson, Francis",1336,https://en.wikipedia.org/wiki/Francis_Thompson
"Waterlow, Sydney",1337,https://en.wikipedia.org/wiki/Sydney_Waterlow_(diplomat)
"Cardozo, Benjamin N. (Benjamin Nathan)",1341,https://en.wikipedia.org/wiki/Benjamin_N._Cardozo
"Le Roy, Edouard",1347,https://en.wikipedia.org/wiki/%C3%89douard_Le_Roy
"McCarter, Margaret Hill",1348,https://en.wikipedia.org/wiki/Margaret_Hill_McCarter
"Wallace, Donald Mackenzie",1349,https://en.wikipedia.org/wiki/Donald_Mackenzie_Wallace
"Bullen, Frank Thomas",1356,https://en.wikipedia.org/wiki/Frank_Thomas_Bullen
"Reade, Charles",1366,https://en.wikipedia.org/wiki/Charles_Reade
Ouida,1367,https://en.wikipedia.org/wiki/Ouida
"Bonneville, Benjamin Louis Eulalie de",1372,https://en.wikipedia.org/wiki/Benjamin_Bonneville
"Clough, Arthur Hugh",1393,https://en.wikipedia.org/wiki/Arthur_Hugh_Clough
"Lytton, Edward Bulwer Lytton, Baron",1396,"https://en.wikipedia.org/wiki/Edward_Bulwer-Lytton,_1st_Baron_Lytton"
"Volney, C.-F. (Constantin-François)",1397,"https://en.wikipedia.org/wiki/Constantin_Fran%C3%A7ois_de_Chasseb%C5%93uf,_comte_de_Volney"
"Troward, T. (Thomas)",1398,https://en.wikipedia.org/wiki/Thomas_Troward
"White, Gilbert",1408,https://en.wikipedia.org/wiki/Gilbert_White
"Lowell, Percival",1409,https://en.wikipedia.org/wiki/Percival_Lowell
"Marryat, Frederick",1412,https://en.wikipedia.org/wiki/Frederick_Marryat
"Graves, Robert",1418,https://en.wikipedia.org/wiki/Robert_Graves
"Edgeworth, Maria",1424,https://en.wikipedia.org/wiki/Maria_Edgeworth
"Mansfield, Katherine",1429,https://en.wikipedia.org/wiki/Katherine_Mansfield
"Schreiner, Olive",1431,https://en.wikipedia.org/wiki/Olive_Schreiner
"Lobo, Jerónimo",1436,https://pt.wikipedia.org/wiki/Jer%C3%B3nimo_Lobo
"Henry, O.",1444,http://en.wikipedia.org/wiki/O._Henry
"Stewart, Donald Ogden",1446,https://en.wikipedia.org/wiki/Donald_Ogden_Stewart
"Spyri, Johanna",1448,https://en.wikipedia.org/wiki/Johanna_Spyri
"Tilden, William T. (William Tatem)",1451,https://en.wikipedia.org/wiki/Bill_Tilden
"Plaatje, Sol. T. (Solomon Tshekisho)",1452,https://en.wikipedia.org/wiki/Sol_Plaatje
"Sabatini, Rafael",1457,https://en.wikipedia.org/wiki/Rafael_Sabatini
"Gissing, George",1463,https://en.wikipedia.org/wiki/George_Gissing
"Keene, H. G. (Henry George)",1470,https://en.wikipedia.org/wiki/Henry_George_Keene_(1826%E2%80%931915)
"Cunninghame Graham, R. B. (Robert Bontine)",1479,https://en.wikipedia.org/wiki/Cunninghame_Graham
"Hughes, Thomas",1480,https://en.wikipedia.org/wiki/Thomas_Hughes
"Blasco Ibáñez, Vicente",1484,https://en.wikipedia.org/wiki/Vicente_Blasco_Ib%C3%A1%C3%B1ez
"Nation, Carry Amelia",1485,https://en.wikipedia.org/wiki/Carrie_Nation
"Brooks, Elbridge S. (Elbridge Streeter)",1488,https://en.wikipedia.org/wiki/Elbridge_Streeter_Brooks
"McGuffey, William Holmes",1489,https://en.wikipedia.org/wiki/William_Holmes_McGuffey
"Hale, Edward Everett",1492,https://en.wikipedia.org/wiki/Edward_Everett_Hale
"Ginzberg, Louis",1493,https://en.wikipedia.org/wiki/Louis_Ginzberg
"Steele, Chester K.",1495,https://en.wikipedia.org/wiki/Chester_K._Steele
"Lord, John",1498,https://en.wikipedia.org/wiki/John_Lord_(historian)
Shakespeare (spurious and doubtful works),1542,https://en.wikipedia.org/wiki/Shakespeare_apocrypha
"Morris, Charles",1560,https://en.wikipedia.org/wiki/Charles_Morris_(American_writer)
"Carpenter, Edward",1561,https://en.wikipedia.org/wiki/Edward_Carpenter
"Leblanc, Maurice",1563,https://en.wikipedia.org/wiki/Maurice_Leblanc
"Boswell, James",1564,https://en.wikipedia.org/wiki/James_Boswell
"Osler, William",1566,https://en.wikipedia.org/wiki/William_Osler
"Henley, William Ernest",1568,https://en.wikipedia.org/wiki/William_Ernest_Henley
"Myerson, Abraham",1575,https://en.wikipedia.org/wiki/Abraham_Myerson
"Benton, Joel",1576,https://en.wikipedia.org/wiki/Joel_Benton
"Phillpotts, Eden",1577,https://en.wikipedia.org/wiki/Eden_Phillpotts
"McAfee, Cleland Boyd",1592,https://en.wikipedia.org/wiki/Cleland_Boyd_McAfee
"Wood, Robert Williams",1593,https://en.wikipedia.org/wiki/Robert_W._Wood
"Andersen, H. C. (Hans Christian)",1597,https://en.wikipedia.org/wiki/Hans_Christian_Andersen
"Stephens, James",1605,https://en.wikipedia.org/wiki/James_Stephens_(author)
"Astor, John Jacob",1607,https://en.wikipedia.org/wiki/John_Jacob_Astor_IV
"Conkling, Hilda",1612,https://en.wikipedia.org/wiki/Hilda_Conkling
"Clouston, J. Storer (Joseph Storer)",1613,https://en.wikipedia.org/wiki/J._Storer_Clouston
"Hawthorne, Julian",1614,https://en.wikipedia.org/wiki/Julian_Hawthorne
"Savage, Ernest Albert",1615,https://en.wikipedia.org/wiki/Ernest_Albert_Savage
"Rojas, Fernando de",1619,https://es.wikipedia.org/wiki/Fernando_de_Rojas
"Whibley, Charles",1632,https://en.wikipedia.org/wiki/Charles_Whibley
"Dixon, Thomas, Jr.",1634,"http://en.wikipedia.org/wiki/Thomas_Dixon,_Jr."
"Thomas, à Kempis",1653,https://en.wikipedia.org/wiki/Thomas_à_Kempis
"Farrar, John Chipman",1664,https://en.wikipedia.org/wiki/John_Chipman_Farrar
Apuleius,1666,https://en.wikipedia.org/wiki/Apuleius
"Brown, Arthur Judson",1675,https://en.wikipedia.org/wiki/Arthur_Judson_Brown
