Type,Title,Language,Subjects,LoCC
Text,0.24249921295040863,en,0.3881528566319034,TK
Text,0.31545575976212265,en,0.352302527662927,PZ
Text,0.4209734776311597,en,0.35574846699736745,PR
Text,0.3028279392348788,en,0.4136124620173831,B
Text,0.3774909351287571,en,0.31068580393104284,PR
Text,0.39153844797988796,en,0.5314988734009654,HX
Text,0.3459023928877209,en,0.310348889340903,PS
Text,0.3253142704511489,en,0.47218616615341374,QA
Text,0.3615462499392602,en,0.30678367575766485,PS
Dataset,0.3333112688222195,en,0.3755435116682312,QA
Text,0.26839246673378714,en,0.6326167294485318,TK
Text,0.3389015029782158,en,0.3768205727851197,E151
Text,0.36440392094911006,en,0.3058968925700081,PS
Text,0.27088584958039114,en,0.37051384759747397,QA
Text,0.3233922156105078,en,0.5428183985102866,PS
Text,0.3435477365891347,en,0.38664909443847634,HM; PS
Text,0.25347900056382505,en,0.3565969309457546,PS
Text,0.3013559660328647,en,0.3215426826669137,PS
Text,0.2762851965521651,en,0.3358029406872922,PS
Text,0.33212375509590014,en,0.5270917785439818,TK
Text,0.38485879332219924,en,0.3374410388009613,PS
Text,0.33045799769756246,en,0.3507180172393193,PS
Text,0.32260672528246154,en,0.3542326689010243,PS
Text,0.4275086480994186,en,0.350593760610721,PQ
Text,0.393616078128725,en,0.6909000157452125,TK
Text,0.304421650537613,en,0.36177942873627994,PZ; PS
Text,0.2860528076665211,en,0.2873413068561181,PR
Text,0.3151875138248976,en,0.36950750546556,PQ
Text,0.2758749270685699,en,0.3399499127509661,PR
Text,0.3111621160243689,en,0.35985647053439446,PZ; PS
Text,0.3076678688211671,en,0.32929099477924395,PS
Text,0.310915562385654,en,0.3293278569953377,G
Text,0.2706587266056723,en,0.3939539824617195,HG
Text,0.2517928933963865,en,0.33098895387098265,KDZ
Text,0.321074734555391,en,0.36177942873627994,PZ; PS
Text,0.3751162544109257,en,0.3125694121557666,PS
Text,0.23976912527077085,en,0.36177942873627994,PS
Text,0.34220550643465847,en,0.3262471618596646,PS
Text,0.336701351747462,en,0.32828143589512554,PS
